step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.500649008864928,0,0.0,0.9144433030664056,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,12.440675707777073,0,0.0,0.9118873937223532,0,0.0
15.0,-0.04,16,0,3,0,16,0,4.0,0.25,6.347775623778531,3,4.0,0.35274206908521943,3,4.0
20.0,-0.39,16,0,9,0,16,0,43.0,2.6875,6.165747559079925,9,43.0,0.29617986541990876,9,43.0
25.0,-0.2,15,0,5,1,16,0,50.0,3.3333333333333335,3.908619106455933,5,63.0,0.1341982491826745,5,63.0
30.0,-0.19999999999999996,17,0,7,3,20,0,83.0,4.882352941176471,7.375153917107497,7,83.0,0.34258410951772994,7,83.0
35.0,0.08999999999999997,25,0,2,3,28,0,43.0,1.72,10.069683254012958,2,74.0,0.6942168928966476,2,74.0
40.0,0.20999999999999996,20,0,2,8,28,0,53.0,2.65,10.00318421553072,2,53.0,0.6586238602068317,2,53.0
45.0,0.45,23,0,2,9,32,0,8.0,0.34782608695652173,9.01124385446084,2,8.0,0.5505214647082236,2,8.0
50.0,-0.27999999999999997,19,0,8,13,32,0,36.0,1.894736842105263,7.29950723575784,8,36.0,0.3134590063466676,8,36.0
55.0,-0.10999999999999999,20,0,5,16,36,0,30.0,1.5,6.424753395231209,5,47.0,0.33110876485861995,5,47.0
60.0,-0.13,16,0,6,20,36,0,60.0,3.75,7.934117875885999,6,60.0,0.36982647389674417,6,60.0
65.0,-0.30000000000000004,16,0,6,20,36,0,90.0,5.625,6.488247915722947,6,90.0,0.11398394059402318,6,90.0
70.0,0.10999999999999999,24,0,3,24,48,0,45.0,1.875,8.595222984109034,3,79.0,0.6083486451131941,3,79.0
75.0,0.19000000000000006,22,0,3,26,48,0,60.0,2.727272727272727,10.272165959110632,3,60.0,0.6986891268462091,3,60.0
80.0,0.42999999999999994,25,0,4,27,52,0,16.0,0.64,6.894879339403884,4,17.0,0.3050057655794984,4,17.0
85.0,-0.42999999999999994,21,0,10,31,52,0,60.0,2.857142857142857,6.818054934772293,10,60.0,0.27533001093049,10,60.0
90.0,-0.10999999999999999,18,0,5,34,52,0,47.0,2.611111111111111,4.3294731775987945,5,71.0,0.12182837171623558,5,71.0
95.0,-0.06000000000000005,18,0,7,38,56,0,77.0,4.277777777777778,7.339057157274265,7,77.0,0.3540260968581321,7,77.0
100.0,0.050000000000000044,26,0,3,38,64,0,44.0,1.6923076923076923,9.709252734655001,3,72.0,0.6524368231640072,3,72.0
105.0,0.12,22,0,4,42,64,0,60.0,2.727272727272727,9.443573530701784,4,60.0,0.5867758295267178,4,60.0
110.0,0.32999999999999996,24,0,4,44,68,0,27.0,1.125,7.025660096930451,4,27.0,0.3499108706485146,4,27.0
115.0,-0.44999999999999996,20,0,10,48,68,0,72.0,3.6,5.710350373746121,10,72.0,0.19432794816188087,10,72.0
120.0,-0.10999999999999999,22,0,8,50,72,0,54.0,2.4545454545454546,5.230400579438684,8,83.0,0.2771016672589295,8,83.0
125.0,-0.06000000000000005,19,0,7,53,72,0,88.0,4.631578947368421,7.438102479104548,7,89.0,0.3703459413779775,7,89.0
130.0,0.14,26,0,2,54,80,0,36.0,1.3846153846153846,9.502574564293822,2,75.0,0.618286862310077,2,75.0
135.0,0.24,25,0,3,59,84,0,51.0,2.04,10.911174697786455,3,51.0,0.7601995614456543,3,51.0
140.0,-0.050000000000000044,23,0,2,61,84,0,56.0,2.4347826086956523,9.775546314454358,2,56.0,0.6401172991096813,2,56.0
145.0,-0.2599999999999999,19,0,9,65,84,0,82.0,4.315789473684211,5.757278136842782,9,82.0,0.0024638109148222205,9,82.0
150.0,0.30999999999999994,20,0,6,68,88,0,40.0,2.0,7.075665828837465,6,51.0,0.34392603788755555,6,51.0
155.0,-0.18999999999999995,17,0,6,71,88,0,70.0,4.117647058823529,6.893766860736818,6,70.0,0.28567715266853616,6,70.0
160.0,0.010000000000000009,18,0,4,74,92,0,40.0,2.2222222222222223,6.523593254526932,4,69.0,0.36859094924191776,4,69.0
165.0,0.08999999999999997,23,0,4,77,100,0,60.0,2.608695652173913,10.228797389826125,4,60.0,0.7111128950158997,4,60.0
170.0,0.36,22,0,2,78,100,0,24.0,1.0909090909090908,9.392481434537743,2,24.0,0.6222602313741651,2,24.0
175.0,-0.22999999999999998,22,0,7,82,104,0,47.0,2.1363636363636362,6.24890659848777,7,47.0,0.25226356489838336,7,47.0
180.0,-0.08000000000000007,20,0,6,84,104,0,34.0,1.7,5.745273152426023,6,55.0,0.2573400379989426,6,55.0
185.0,-0.12,21,0,8,87,108,0,67.0,3.1904761904761907,7.616989210129169,8,67.0,0.3452712377400496,8,67.0
190.0,-0.019999999999999907,20,0,3,88,108,0,32.0,1.6,8.393565193356004,3,69.0,0.4149294303467425,3,69.0
195.0,0.21999999999999997,24,0,3,92,116,0,47.0,1.9583333333333333,10.796681981964646,3,47.0,0.7183151117918397,3,47.0
200.0,0.23999999999999996,25,0,4,95,120,0,23.0,0.92,10.94724493885048,4,23.0,0.7172207157962966,4,23.0
205.0,-0.21,20,0,5,100,120,0,44.0,2.2,7.892444803199221,5,44.0,0.39866929143525354,5,44.0
210.0,-0.020000000000000018,18,0,7,102,120,0,31.0,1.7222222222222223,3.830001124838809,7,46.0,0.049899203906227235,7,46.0
