step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0.0,12,0,0,0,12,0,0.0,0.0,12.500649008864928,0,0.0,0.9144433030664056,0,0.0
10.0,0.0,12,0,0,0,12,0,0.0,0.0,12.440675707777073,0,0.0,0.9118873937223532,0,0.0
15.0,-0.05,16,0,4,0,16,0,5.0,0.3125,7.292246609638815,4,5.0,0.3602143856679924,4,5.0
20.0,-0.37,16,0,8,0,16,0,42.0,2.625,6.995920264214399,8,42.0,0.32532902820599263,8,42.0
25.0,-0.39999999999999997,14,0,8,2,16,0,82.0,5.857142857142857,4.524364824574412,8,82.0,0.058939140430513605,8,82.0
30.0,-0.4600000000000001,16,0,10,4,20,0,128.0,8.0,5.249519804357251,10,128.0,0.27510325462396795,10,128.0
35.0,-0.5,23,0,10,5,28,0,178.0,7.739130434782608,7.53202039589313,10,178.0,0.5246228829310943,10,178.0
40.0,-0.010000000000000009,22,0,10,6,28,0,179.0,8.136363636363637,5.661037492554387,10,179.0,0.388054838368075,10,179.0
45.0,0.020000000000000018,26,0,10,6,32,0,122.0,4.6923076923076925,4.749026999182148,10,177.0,0.315647871944535,10,177.0
50.0,0.48,25,0,10,7,32,0,107.0,4.28,5.032837044813191,10,129.0,0.20896784829932807,10,129.0
55.0,-0.32000000000000006,28,0,12,8,36,0,161.0,5.75,6.976138147298217,12,161.0,0.2654451873287824,12,161.0
60.0,-0.5999999999999999,25,0,12,11,36,0,221.0,8.84,6.659556317188792,12,221.0,0.23924824963812502,12,221.0
65.0,-0.6000000000000001,18,0,12,18,36,0,281.0,15.61111111111111,2.6680546224900437,12,281.0,0.0704785555180722,12,281.0
70.0,-0.6999999999999997,28,0,14,20,48,0,351.0,12.535714285714286,6.09205711560302,14,351.0,0.4124119765737074,14,351.0
75.0,-0.7000000000000002,28,0,14,20,48,0,421.0,15.035714285714286,5.241433402873988,14,421.0,0.3450011659872142,14,421.0
80.0,0.54,31,0,15,21,52,0,301.0,9.709677419354838,3.5984812434933575,15,367.0,0.17256700623474724,15,367.0
85.0,-0.2200000000000002,30,0,18,22,52,0,388.0,12.933333333333334,4.482987681778925,18,389.0,0.1695666103978999,18,389.0
90.0,0.8900000000000001,28,0,13,24,52,0,181.0,6.464285714285714,3.2732591780033293,13,300.0,0.0572230752231783,13,300.0
95.0,0.6400000000000001,30,0,10,26,56,0,178.0,5.933333333333334,6.879834980050055,10,236.0,0.2859629462761615,10,236.0
100.0,0.009999999999999787,36,0,10,28,64,0,228.0,6.333333333333333,9.206314094871143,10,235.0,0.5235794316263596,10,235.0
105.0,-0.46999999999999975,32,0,12,32,64,0,281.0,8.78125,8.247816265949414,12,282.0,0.38604361787751407,12,282.0
110.0,-0.6300000000000003,28,0,14,40,68,0,344.0,12.285714285714286,4.969485442671224,14,345.0,0.19616267525318218,14,345.0
115.0,-0.8399999999999999,24,0,18,44,68,0,428.0,17.833333333333332,2.854857799000298,18,429.0,0.09302084548735971,18,429.0
120.0,-0.96,26,0,20,46,72,0,524.0,20.153846153846153,2.848730975711018,20,525.0,0.15805574873796865,20,525.0
125.0,1.4900000000000002,25,0,14,47,72,0,353.0,14.12,3.383319644436721,14,376.0,0.20068843019207733,14,376.0
130.0,0.36999999999999966,33,0,13,47,80,0,327.0,9.909090909090908,6.498499252770931,13,339.0,0.41964902542666777,13,339.0
135.0,0.6000000000000001,36,0,7,48,84,0,155.0,4.305555555555555,8.1665485303796,7,279.0,0.5132877810195615,7,279.0
140.0,0.7000000000000002,32,0,7,52,84,0,190.0,5.9375,7.876103480118923,7,209.0,0.4144655317823977,7,209.0
145.0,-0.45999999999999996,29,0,15,55,84,0,243.0,8.379310344827585,6.023528255163319,15,255.0,0.04698838818006618,15,255.0
150.0,-0.75,27,0,15,61,88,0,318.0,11.777777777777779,5.598250144165514,15,330.0,0.2012843369089621,15,330.0
155.0,-0.75,22,0,15,66,88,0,393.0,17.863636363636363,3.217876899981799,15,405.0,0.15183152915985762,15,405.0
160.0,-0.8100000000000005,25,0,17,67,92,0,474.0,18.96,3.9463736463860073,17,486.0,0.18608479266373903,17,486.0
165.0,0.7300000000000004,31,0,15,69,100,0,402.0,12.96774193548387,5.987501645983226,15,413.0,0.42226017184358705,15,413.0
170.0,0.5,29,0,12,71,100,0,305.0,10.517241379310345,5.113413953268843,12,363.0,0.32178372092804763,12,363.0
175.0,0.6099999999999999,33,0,12,71,104,0,169.0,5.121212121212121,4.561915306339055,12,302.0,0.19438309853392005,12,302.0
180.0,0.6200000000000001,32,0,11,72,104,0,171.0,5.34375,6.2097943511677,11,240.0,0.23150931251804963,11,240.0
185.0,0.009999999999999787,31,0,13,77,108,0,228.0,7.354838709677419,7.379330454914472,13,239.0,0.2876389430868303,13,239.0
190.0,-0.6499999999999999,27,0,13,81,108,0,293.0,10.851851851851851,6.744449898472084,13,304.0,0.2210752383738064,13,304.0
195.0,-0.6499999999999999,29,0,13,87,116,0,358.0,12.344827586206897,6.911075811436944,13,369.0,0.3891299431847827,13,369.0
200.0,-0.73,29,0,15,91,120,0,431.0,14.862068965517242,6.572228072292497,15,442.0,0.4151544771917952,15,442.0
205.0,-0.7599999999999998,28,0,16,92,120,0,507.0,18.107142857142858,3.376078786305469,16,518.0,0.179244054349724,16,518.0
210.0,0.6099999999999994,27,0,17,93,120,0,319.0,11.814814814814815,1.7875328029350115,17,457.0,0.03450434205197792,17,457.0
