step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,4,1.0,0.0,1,0,0,0,1,0,0.0,0.0,13.183867564890146,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9816553228560937,0,0.0,1.0,0,0.0
10.0,0.0,8,0,8,1.0,0.0,4,0,0,0,4,0,0.0,0.0,12.608434278787787,0,0.0,0.9286584929866,0,0.0,1.0,0,0.0,0.9317737134308454,0,0.0,1.0,0,0.0
15.0,0.0,12,0,12,1.0,0.0,7,0,0,0,7,0,0.0,0.0,10.474387090641434,0,0.0,0.94664781949234,0,0.0,1.0,0,0.0,0.5464167261580799,0,0.0,1.0,0,0.0
20.0,-0.25,16,0,16,1.0,0.0,9,0,1,0,9,0,5.0,0.5555555555555556,9.832620257189468,0,0.0,0.6867284256813951,0,0.0,0.9987066217026404,1,5.0,0.674099990381908,0,0.0,1.0,1,5.0
25.0,-0.25,20,0,20,1.0,0.0,10,0,1,0,10,0,5.0,0.5,9.889736745028491,1,5.0,0.620381107674067,0,0.0,0.9949366140738839,0,0.0,0.7724782177324157,0,0.0,1.0,1,5.0
30.0,0.0,24,0,24,1.0,0.0,11,0,0,0,11,0,0.0,0.0,11.30451634950357,0,0.0,0.7335550421975116,0,0.0,1.0,0,0.0,0.905244411144864,0,2.0,0.9574448722960744,0,2.0
35.0,-0.25,28,0,28,1.0,0.0,14,0,1,0,14,0,2.0,0.14285714285714285,10.736555625880468,0,0.0,0.9367393552475856,0,2.0,0.9144950245262877,1,2.0,0.09838585470955707,0,2.0,0.9309401512030003,1,6.0
40.0,-0.25,32,0,32,1.0,0.0,16,0,1,0,16,0,2.0,0.125,8.678525842871766,0,0.0,0.814439114311283,0,2.0,0.8665715734074522,0,5.0,0.16199353534509303,1,4.0,0.17004743997938335,1,11.0
45.0,-0.5,36,0,36,1.0,0.0,21,0,2,0,21,0,6.0,0.2857142857142857,8.096283000270667,1,3.0,0.539611874198486,1,5.0,0.46867057308163973,0,0.0,0.8743189192699313,0,3.0,0.14493789968763068,2,11.0
50.0,-0.75,40,0,40,1.0,0.0,25,0,3,1,26,0,16.0,0.64,8.749158525539395,3,16.0,0.4369392899421845,0,3.0,0.4265111242823016,0,0.0,0.909291621511932,0,0.0,0.9844427347002132,3,19.0
