step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,4,0,0,0,4,0,0.0,0.0,13.960149932202429,0,0.0,0.9421917477002859,0,0.0,1.0,0,0.0,0.9847860102637007,0,0.0,1.0,0,0.0
10.0,0.0,5,0,0,0,5,0,0.0,0.0,13.526518102196587,0,0.0,0.9512488652458261,0,0.0,0.9497231341046808,0,0.0,0.9368080546962364,0,0.0,1.0,0,0.0
15.0,0.0,7,0,0,0,7,0,0.0,0.0,8.48691069869052,0,0.0,0.6710003803863941,0,0.0,0.3409455793721915,0,0.0,0.6461129017682722,0,0.0,1.0,0,0.0
20.0,-0.0175,9,0,2,0,9,0,7.0,0.7777777777777778,9.0233729062103,0,0.0,0.8782439687000417,1,2.0,0.0006876220089888536,1,5.0,0.6304247116389627,0,0.0,1.0,2,7.0
25.0,-0.015000000000000001,10,0,2,0,10,0,12.0,1.2,7.116901935134827,1,2.0,0.5988744488826393,0,1.0,0.9398445633428772,1,10.0,0.11383783454663761,0,0.0,1.0,2,13.0
30.0,-0.035,16,0,3,0,16,0,23.0,1.4375,8.67026533512206,0,1.0,0.616795198727485,0,1.0,0.9615824891328326,3,23.0,2.703438265188681e-05,0,2.0,0.9584710198152944,3,27.0
35.0,-0.027499999999999993,17,0,4,0,17,0,33.0,1.9411764705882353,9.352287286474633,1,3.0,0.7244412012841265,1,3.0,0.7122891538744042,2,30.0,0.4620421685261423,0,2.0,0.9460390777012795,4,38.0
40.0,-0.05000000000000001,17,0,6,0,17,0,55.0,3.235294117647059,7.710999189294472,2,9.0,0.30136426456584103,2,9.0,0.30289029427012637,2,40.0,0.6239220922499308,0,0.0,0.9965417485675857,6,58.0
45.0,-0.07749999999999999,18,0,7,0,18,0,88.0,4.888888888888889,7.072848210636717,2,19.0,0.30792644417057113,3,22.0,0.022540332056953785,2,48.0,0.5852788448746139,0,0.0,1.0,7,89.0
50.0,-0.09999999999999998,18,0,9,2,20,0,128.0,7.111111111111111,5.157858417704663,2,29.0,0.2371937698736327,4,41.0,5.014311286013577e-05,3,59.0,0.36681490634620206,0,0.0,1.0,9,129.0
55.0,-0.13000000000000003,17,0,12,4,21,0,180.0,10.588235294117647,2.9729496080807527,3,40.0,0.001194462040184788,4,61.0,0.0,5,80.0,0.30863945448918173,0,0.0,1.0,12,181.0
60.0,0.012500000000000011,17,0,8,5,22,0,114.0,6.705882352941177,2.4854913949721653,3,55.0,0.0,1,57.0,0.3129980870227336,4,64.0,0.13104469703634875,0,0.0,1.0,8,176.0
65.0,0.07,18,0,7,5,23,0,143.0,7.944444444444445,6.355479134971613,2,59.0,0.3171852738902164,1,33.0,0.45969482702574,4,52.0,0.1488471443171021,0,4.0,0.8783642344128946,7,148.0
70.0,-0.045,19,0,6,5,24,0,126.0,6.631578947368421,7.771527576975418,2,69.0,0.4619353855549883,1,38.0,0.0,3,55.0,0.23483538636423748,0,4.0,0.9421962537012846,6,166.0
